date;city;channel;orders_count;unique_customers;items_sold
2025-03-15;Bordeaux;app;8;8;70
2025-03-15;Bordeaux;web;6;6;50
2025-03-15;Lille;app;9;9;78
2025-03-15;Lille;web;6;6;47
2025-03-15;Lyon;app;8;8;67
2025-03-15;Lyon;web;4;4;44
2025-03-15;Marseille;app;7;7;58
2025-03-15;Marseille;web;6;6;46
2025-03-15;Nantes;app;3;3;27
2025-03-15;Nantes;web;5;5;40
2025-03-15;Nice;app;4;4;38
2025-03-15;Nice;web;2;2;17
2025-03-15;Paris;app;3;3;13
2025-03-15;Paris;web;3;3;6
2025-03-15;Toulouse;app;7;6;68
2025-03-15;Toulouse;web;4;3;36
