date;city;channel;orders_count;unique_customers;items_sold
2025-03-09;Bordeaux;app;2;2;11
2025-03-09;Bordeaux;web;4;3;16
2025-03-09;Lille;app;6;6;59
2025-03-09;Lille;web;8;8;44
2025-03-09;Lyon;app;4;4;45
2025-03-09;Lyon;web;3;3;17
2025-03-09;Marseille;app;7;7;64
2025-03-09;Marseille;web;4;4;36
2025-03-09;Nantes;app;9;8;67
2025-03-09;Nantes;web;2;2;19
2025-03-09;Nice;app;6;5;40
2025-03-09;Nice;web;5;5;34
2025-03-09;Paris;app;11;9;90
2025-03-09;Paris;web;3;3;20
2025-03-09;Toulouse;app;2;2;18
2025-03-09;Toulouse;web;6;6;48
