date;city;channel;orders_count;unique_customers;items_sold
2025-03-03;Bordeaux;app;2;2;10
2025-03-03;Bordeaux;web;4;3;40
2025-03-03;Lille;app;4;4;21
2025-03-03;Lille;web;6;6;47
2025-03-03;Lyon;app;6;5;39
2025-03-03;Lyon;web;5;5;33
2025-03-03;Marseille;app;4;3;23
2025-03-03;Marseille;web;4;4;33
2025-03-03;Nantes;app;2;2;15
2025-03-03;Nantes;web;5;5;56
2025-03-03;Nice;app;7;7;30
2025-03-03;Nice;web;8;7;55
2025-03-03;Paris;app;4;4;19
2025-03-03;Paris;web;6;6;45
2025-03-03;Toulouse;app;2;2;16
2025-03-03;Toulouse;web;6;6;58
