date;city;channel;orders_count;unique_customers;items_sold
2025-03-26;Bordeaux;app;2;2;18
2025-03-26;Bordeaux;web;9;8;49
2025-03-26;Lille;app;7;7;73
2025-03-26;Lille;web;4;4;24
2025-03-26;Lyon;app;2;1;7
2025-03-26;Lyon;web;2;2;12
2025-03-26;Marseille;app;8;8;77
2025-03-26;Marseille;web;6;5;46
2025-03-26;Nantes;app;6;5;38
2025-03-26;Nantes;web;10;10;72
2025-03-26;Nice;app;5;4;20
2025-03-26;Nice;web;5;5;37
2025-03-26;Paris;app;3;3;16
2025-03-26;Paris;web;2;1;11
2025-03-26;Toulouse;app;2;2;6
2025-03-26;Toulouse;web;2;2;15
