date;city;channel;orders_count;unique_customers;items_sold
2025-03-31;Bordeaux;app;4;4;27
2025-03-31;Bordeaux;web;8;8;75
2025-03-31;Lille;app;2;2;21
2025-03-31;Lille;web;4;4;29
2025-03-31;Lyon;app;1;1;5
2025-03-31;Lyon;web;6;6;51
2025-03-31;Marseille;app;6;6;41
2025-03-31;Marseille;web;3;3;15
2025-03-31;Nantes;app;3;3;34
2025-03-31;Nantes;web;9;9;57
2025-03-31;Nice;app;2;2;9
2025-03-31;Nice;web;3;3;19
2025-03-31;Paris;app;4;4;31
2025-03-31;Paris;web;7;6;56
2025-03-31;Toulouse;app;5;5;35
2025-03-31;Toulouse;web;7;7;52
