date;city;channel;orders_count;unique_customers;items_sold
2025-03-12;Bordeaux;app;8;8;81
2025-03-12;Bordeaux;web;3;3;25
2025-03-12;Lille;app;2;2;10
2025-03-12;Lille;web;4;4;28
2025-03-12;Lyon;app;8;7;69
2025-03-12;Lyon;web;6;6;48
2025-03-12;Marseille;app;2;2;10
2025-03-12;Marseille;web;4;4;29
2025-03-12;Nantes;app;4;4;32
2025-03-12;Nantes;web;7;7;77
2025-03-12;Nice;app;3;3;35
2025-03-12;Nice;web;5;5;37
2025-03-12;Paris;app;6;6;55
2025-03-12;Paris;web;5;5;44
2025-03-12;Toulouse;app;9;9;66
2025-03-12;Toulouse;web;10;10;66
