date;city;channel;orders_count;unique_customers;items_sold
2025-03-19;Bordeaux;app;4;4;35
2025-03-19;Bordeaux;web;8;8;54
2025-03-19;Lille;app;6;6;47
2025-03-19;Lille;web;5;5;27
2025-03-19;Lyon;app;8;8;41
2025-03-19;Lyon;web;5;5;60
2025-03-19;Marseille;app;5;5;36
2025-03-19;Marseille;web;4;4;20
2025-03-19;Nantes;app;3;3;29
2025-03-19;Nantes;web;6;6;23
2025-03-19;Nice;app;7;6;39
2025-03-19;Nice;web;2;2;9
2025-03-19;Paris;app;1;1;9
2025-03-19;Paris;web;4;4;29
2025-03-19;Toulouse;app;5;5;25
2025-03-19;Toulouse;web;5;5;57
