date;city;channel;orders_count;unique_customers;items_sold
2025-03-22;Bordeaux;app;8;8;63
2025-03-22;Bordeaux;web;3;3;8
2025-03-22;Lille;app;3;3;20
2025-03-22;Lille;web;3;3;12
2025-03-22;Lyon;app;9;9;57
2025-03-22;Lyon;web;6;6;48
2025-03-22;Marseille;app;4;4;27
2025-03-22;Marseille;web;7;6;51
2025-03-22;Nantes;app;3;3;21
2025-03-22;Nantes;web;6;5;54
2025-03-22;Nice;app;3;3;16
2025-03-22;Nice;web;2;2;5
2025-03-22;Paris;app;3;3;19
2025-03-22;Paris;web;6;6;46
2025-03-22;Toulouse;app;7;7;52
2025-03-22;Toulouse;web;3;3;19
