date;city;channel;orders_count;unique_customers;items_sold
2025-03-18;Bordeaux;app;8;7;40
2025-03-18;Bordeaux;web;3;3;39
2025-03-18;Lille;app;7;7;47
2025-03-18;Lille;web;2;2;9
2025-03-18;Lyon;app;6;6;44
2025-03-18;Lyon;web;4;4;24
2025-03-18;Marseille;app;8;8;63
2025-03-18;Marseille;web;3;3;22
2025-03-18;Nantes;app;2;2;10
2025-03-18;Nantes;web;5;5;25
2025-03-18;Nice;app;3;3;25
2025-03-18;Nice;web;9;9;67
2025-03-18;Paris;app;7;7;50
2025-03-18;Paris;web;5;5;25
2025-03-18;Toulouse;app;8;8;57
2025-03-18;Toulouse;web;6;6;26
