date;city;channel;orders_count;unique_customers;items_sold
2025-03-29;Bordeaux;app;4;4;23
2025-03-29;Bordeaux;web;3;3;16
2025-03-29;Lille;app;3;3;11
2025-03-29;Lille;web;7;7;55
2025-03-29;Lyon;app;7;7;56
2025-03-29;Lyon;web;5;5;39
2025-03-29;Marseille;app;6;4;50
2025-03-29;Marseille;web;5;5;52
2025-03-29;Nantes;app;5;5;30
2025-03-29;Nantes;web;5;5;47
2025-03-29;Nice;app;4;4;39
2025-03-29;Nice;web;7;7;63
2025-03-29;Paris;app;3;3;31
2025-03-29;Paris;web;3;3;25
2025-03-29;Toulouse;app;4;4;26
2025-03-29;Toulouse;web;7;7;55
