date;city;channel;orders_count;unique_customers;items_sold
2025-03-23;Bordeaux;app;6;6;45
2025-03-23;Bordeaux;web;3;3;8
2025-03-23;Lille;app;6;6;37
2025-03-23;Lille;web;1;1;5
2025-03-23;Lyon;app;6;6;49
2025-03-23;Lyon;web;5;5;45
2025-03-23;Marseille;app;4;4;22
2025-03-23;Marseille;web;7;7;42
2025-03-23;Nantes;app;3;3;16
2025-03-23;Nantes;web;7;7;48
2025-03-23;Nice;app;4;4;34
2025-03-23;Nice;web;8;8;53
2025-03-23;Paris;app;4;4;41
2025-03-23;Paris;web;5;5;39
2025-03-23;Toulouse;app;3;3;6
2025-03-23;Toulouse;web;3;3;30
