date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-01;Bordeaux;app;4;4;27;325.4;-25.55;299.85
2025-03-01;Bordeaux;web;6;6;25;332.5;-39.73;292.77
2025-03-01;Lille;app;4;4;26;321.8;-24.47;297.33
2025-03-01;Lille;web;3;3;37;417.0;-14.23;402.77
2025-03-01;Lyon;app;7;7;59;707.8;-10.86;696.94
2025-03-01;Lyon;web;3;3;21;257.9;-2.81;255.09
2025-03-01;Marseille;app;9;9;69;594.4;-62.45;531.95
2025-03-01;Marseille;web;8;7;55;497.7;-6.05;491.65
2025-03-01;Nantes;app;3;3;13;104.4;-13.85;90.55
2025-03-01;Nantes;web;1;1;8;77.4;0.0;77.4
2025-03-01;Nice;app;6;6;50;733.6;-24.7;708.9
2025-03-01;Nice;web;3;3;23;173.2;-23.62;149.58
2025-03-01;Paris;app;3;3;26;423.3;-21.8;401.5
2025-03-01;Paris;web;7;7;44;586.5;-6.76;579.74
2025-03-01;Toulouse;app;5;5;38;416.4;-6.53;409.87
2025-03-01;Toulouse;web;6;6;35;396.4;-38.55;357.85
